Samples	C10	C11	C14	C15	C16	C18	C19	C20	C21	C22	C23	C24	HF01	HF02	HF03	HF04	HF05	HF06	HF07	HF08	HF09	HF12	HF13	HF17
Methylamine	6.9000	23.9000	4.7000	1.9000	7.4000	4.1000	5	5.8000		1.4000		9.1000	10.5000	7.7000	18.4000	3.6000	7.2000	4.1000	17.6000	23.4000	6.1000	2.8000	2.5000	8.5000
O-Phosphocholine	12.4000	10.7000	9.1000	5.5000	14.6000	6.9000	6.6000	7.4000	5.5000	6.3000	12.9000	16.5000	4.1000	21.5000	8.8000	17.3000	14.6000	15.1000	27.8000	18.2000	30	14.9000	10.5000	43.7000
O-Phosphoethanolamine	121.8000	44.8000	97.1000	68.5000	85	86.1000	55.8000	116.6000	106.2000	78.4000	308	60.2000	18.2000	95.4000	130.6000	312.7000	76.5000	292.1000	55.8000	59.4000	265.4000	83.1000	127.3000	409.5000
Ornithine							11.8000					24.8000							58.3000	22.3000	27.2000	5.2000		
Phenol													26.1000											
Phenylalanine	16	27.8000	4.7000	9.6000	24.8000	9.4000	7.4000	6.1000		9.1000	16.8000	40.4000	38.8000	74.5000	10.2000	25.9000	31.1000	13.5000	50.9000	31.6000	33.3000	15.7000	7.4000	47.9000
Proline	52.8000	36	14.9000	44	51.7000	50.3000	66.8000	16.5000		24.8000	22.8000	244.2000	41.8000	207.1000	33.6000	28.6000	64.1000	32.2000	87.5000	49.8000	296.5000	13.2000	16.5000	25.6000
Propionate	471.9000	1574.9000	172.4000	269.2000	484.3000	467.2000	162	347.6000	74	91.9000	133.7000	576.1000	1053.8000	2025.7000	147.4000	244.2000	492.8000	485.1000	2614.2000	1191	507.7000	209	9.6000	19.8000
Propylene glycol	28.9000	19.8000	27.5000	8.5000	17.9000	7.4000	4.7000	47.6000	9.9000	45.4000	9.9000	9.4000	11.8000	53.4000	31.1000	19	20.1000	13.5000	64.4000	59.4000	162.3000	3.9000	3.6000	36.9000
Putrescine	35.2000	50.1000		30.3000		52.5000	38.5000	7.4000				108.1000	107.3000	146	25.9000		49.8000			58.9000		11.8000		41.3000
Pyruvate	91.6000	153.5000	60.2000	45.9000	338.3000	54.2000	56.1000	53.1000	24.5000	81.1000	86.9000	302.8000	35.2000	161.2000	87.2000	18.7000	81.4000	87.7000	369.9000	394.9000	1310.4000	78.1000	36.3000	
sn-Glycero-3-phosphocholine	1.7000	1.7000	3.3000		16	3.9000		2.8000		3.6000	3.9000	2.5000	0.6000	3.3000		8.3000	1.9000	3.9000	18.2000		25.3000		11.6000	
Succinate	12.1000	39.3000	28.3000	33	191.7000	36	29.7000	14	13.8000	46.8000	39.6000	97.4000	38	49.2000	6.1000	39.3000	73.7000	55.3000	281.9000	60.5000	229.4000	44.6000	11	423.8000
Sucrose	14.3000							14.3000		21.2000	61.1000			10.7000				36.9000	46.2000		367.1000		11.3000	
Taurine	176.3000	166.4000	51.2000	35.5000	245	60.8000	44.8000	53.6000	61.9000	41	78.7000	285.7000	76.2000	194.7000	95.2000	175.5000	98.7000	51.4000	284.1000	207.4000	94.1000	78.7000	126.2000	110
Tyrosine	38.2000	58	20.4000	14.9000	49.8000	16.8000	14.9000	14.9000	8.5000	13.5000	36.3000	69	48.7000	135	34.4000	59.1000	40.7000	18.2000	129.8000	70.7000	65.2000	35.8000	19.5000	118.8000
Uracil					25.6000														31.9000					
Urea	330.6000	361.1000	423.5000	316	452.4000	429.6000	100.1000	461.5000		344.9000	766.4000	415.8000		409.5000	974.3000	380.1000	270.1000	690.5000	449.6000	206.5000	966.1000	361.9000	750.5000	709
Valine		10.2000		7.7000	12.1000		6.6000					26.4000	27	18.4000			11.8000		22	7.4000	11.8000		7.7000	30.3000
																								
